OrderID,OrderDate,Product,Region,SalesChannel,UnitPrice,Quantity,Revenue,Profit
1001,2023-01-01,Monitor,North,Retail,1016,2,2032,406.4
1002,2023-01-02,Keyboard,South,Retail,898,4,3592,718.4
1003,2023-01-03,Headphones,South,Retail,1157,1,1157,231.4
1004,2023-01-04,Keyboard,North,Online,1434,6,8604,1720.8
1005,2023-01-05,Keyboard,East,Online,738,1,738,147.6
1006,2023-01-06,Phone,South,Retail,197,6,1182,236.4
1007,2023-01-07,Headphones,South,Online,391,1,391,78.2
1008,2023-01-08,Headphones,South,Online,525,6,3150,630
1009,2023-01-09,Headphones,North,Online,1136,8,9088,1817.6
1010,2023-01-10,Keyboard,West,Retail,1433,2,2866,573.2
1011,2023-01-11,Monitor,South,Retail,610,2,1220,244
1012,2023-01-12,Headphones,West,Online,376,4,1504,300.8
1013,2023-01-13,Mouse,East,Retail,1214,3,3642,728.4
1014,2023-01-14,Keyboard,South,Online,1039,4,4156,831.2
1015,2023-01-15,Phone,South,Online,264,7,1848,369.6
1016,2023-01-16,Monitor,East,Online,484,1,484,96.8
1017,2023-01-17,Mouse,South,Online,1001,6,6006,1201.2
1018,2023-01-18,Mouse,West,Retail,772,3,2316,463.2
1019,2023-01-19,Phone,North,Retail,1391,7,9737,1947.4
1020,2023-01-20,Monitor,West,Retail,81,2,162,32.4
1021,2023-01-21,Keyboard,North,Online,719,2,1438,287.6
1022,2023-01-22,Laptop,North,Retail,334,4,1336,267.2
1023,2023-01-23,Monitor,West,Online,1378,1,1378,275.6
1024,2023-01-24,Phone,West,Retail,478,3,1434,286.8
1025,2023-01-25,Mouse,West,Online,335,9,3015,603
1026,2023-01-26,Keyboard,West,Online,1217,7,8519,1703.8
1027,2023-01-27,Monitor,East,Online,1497,7,10479,2095.8
1028,2023-01-28,Laptop,South,Retail,1092,4,4368,873.6
1029,2023-01-29,Laptop,North,Retail,67,2,134,26.8
1030,2023-01-30,Headphones,West,Retail,818,4,3272,654.4
1031,2023-01-31,Headphones,West,Retail,639,6,3834,766.8
1032,2023-02-01,Phone,West,Online,1444,3,4332,866.4
1033,2023-02-02,Monitor,East,Retail,1248,1,1248,249.6
1034,2023-02-03,Monitor,West,Retail,1059,8,8472,1694.4
1035,2023-02-04,Mouse,West,Online,243,5,1215,243
1036,2023-02-05,Mouse,West,Online,551,5,2755,551
1037,2023-02-06,Mouse,South,Online,1037,4,4148,829.6
1038,2023-02-07,Headphones,East,Retail,1186,6,7116,1423.2
1039,2023-02-08,Monitor,West,Online,163,3,489,97.8
1040,2023-02-09,Monitor,North,Online,1295,9,11655,2331
1041,2023-02-10,Laptop,North,Online,996,5,4980,996
1042,2023-02-11,Headphones,North,Retail,880,3,2640,528
1043,2023-02-12,Keyboard,East,Online,1337,1,1337,267.4
1044,2023-02-13,Headphones,East,Retail,974,6,5844,1168.8
1045,2023-02-14,Keyboard,North,Retail,104,2,208,41.6
1046,2023-02-15,Laptop,West,Online,849,3,2547,509.4
1047,2023-02-16,Phone,East,Online,827,1,827,165.4
1048,2023-02-17,Monitor,North,Retail,211,9,1899,379.8
1049,2023-02-18,Laptop,North,Online,1453,8,11624,2324.8
1050,2023-02-19,Monitor,West,Online,136,2,272,54.4
1051,2023-02-20,Mouse,South,Retail,104,8,832,166.4
1052,2023-02-21,Phone,East,Retail,1251,9,11259,2251.8
1053,2023-02-22,Phone,West,Online,1464,1,1464,292.8
1054,2023-02-23,Laptop,North,Retail,1422,5,7110,1422
1055,2023-02-24,Phone,North,Online,1081,8,8648,1729.6
1056,2023-02-25,Keyboard,West,Online,882,2,1764,352.8
1057,2023-02-26,Phone,East,Online,362,4,1448,289.6
1058,2023-02-27,Monitor,South,Retail,808,7,5656,1131.2
1059,2023-02-28,Monitor,South,Online,492,3,1476,295.2
1060,2023-03-01,Monitor,North,Online,377,5,1885,377
1061,2023-03-02,Monitor,East,Online,1127,8,9016,1803.2
